#_RAJ2000	_DECJ2000	SpeakTot	Sdensity	Maj	Min	PA	flag
174.244937	47.137734	2.272681e+00	4.633396e-03	6.428	4.542	-179.1	1
174.700008	47.273399	2.265632e+00	1.027498e-02	11.217	1.630	-150.0	0
174.661249	46.742806	2.247463e+00	2.234614e-03	10.961	7.107	144.3	1
173.508867	48.108647	2.231649e+00	6.122494e-03	4.649	3.978	114.2	1
174.159842	48.473123	2.226723e+00	5.997908e-03	4.349	3.962	136.9	1
173.163716	48.086291	2.200435e+00	3.790585e-03	8.565	4.649	147.1	1
173.953787	48.489373	2.197913e+00	5.061399e-03	6.798	4.123	154.4	1
174.593569	48.103371	2.196671e+00	5.515810e-03	5.954	4.190	98.9	1
174.188276	48.166896	2.188204e+00	2.614342e-03	15.253	7.436	166.2	1
174.232384	48.246387	2.168082e+00	3.441401e-03	12.203	5.123	131.2	1
174.740610	47.780461	2.157950e+00	6.480331e-03	3.948	3.201	-175.3	1
174.729170	48.163271	2.130626e+00	5.881644e-03	4.630	3.915	-159.3	1
174.611690	48.332195	2.127137e+00	4.873165e-03	9.602	3.051	126.9	1
174.224620	47.815915	2.108781e+00	3.763999e-03	7.707	5.433	152.8	1
174.712684	48.011587	2.077658e+00	4.482542e-03	6.057	4.121	-158.7	1
173.483667	48.176433	2.077378e+00	6.034503e-03	5.541	3.377	79.1	1
172.958016	48.042478	2.067747e+00	5.672830e-03	5.568	3.668	159.3	1
174.805399	47.421687	2.054518e+00	7.023993e-03	4.583	2.942	-173.9	1
173.441187	47.802904	2.044106e+00	1.622306e-02	3.684	2.228	179.1	0
174.725177	47.274600	2.032997e+00	2.316806e-02	5.216	1.138	69.4	0
174.835999	47.587313	2.028482e+00	3.087491e-03	16.293	4.487	179.6	1
174.897506	47.833964	2.026440e+00	2.544181e-03	10.341	6.736	135.3	1
173.661658	47.889075	2.014920e+00	5.236958e-03	7.404	3.150	166.7	1
174.126843	47.309928	2.004687e+00	4.283518e-03	7.659	3.854	134.8	1
174.186594	47.588704	1.997410e+00	2.989016e-03	8.898	7.216	97.8	1
174.427987	48.404744	1.979416e+00	7.210989e-03	6.337	2.922	155.8	1
173.805351	48.022624	1.959053e+00	4.268088e-03	6.346	4.863	59.2	1
173.225711	48.128015	1.949218e+00	4.839771e-03	7.121	3.322	-145.8	1
173.478377	48.391436	1.948266e+00	4.286614e-03	5.896	4.715	-150.7	1
174.432268	48.302861	1.947979e+00	1.124375e-02	2.796	2.573	49.3	0
173.844701	48.398827	1.930740e+00	5.917977e-03	4.559	3.021	-166.1	1
174.221437	48.470712	1.927420e+00	6.207473e-03	4.353	3.658	-137.0	1
174.325357	47.144908	1.925452e+00	3.657079e-03	7.767	5.189	159.1	1
174.392441	47.361270	1.925442e+00	4.527788e-03	6.159	4.369	-173.8	1
174.098074	48.249139	1.915179e+00	4.365081e-03	6.400	3.928	165.5	1
174.697798	46.788261	1.913280e+00	2.962881e-03	8.455	4.260	153.7	1
174.533835	48.236987	1.910000e+00	3.020956e-03	9.073	5.098	135.0	1
174.413899	46.936163	1.902872e+00	4.474714e-03	7.773	4.659	175.8	1
174.838861	47.160580	1.898237e+00	5.858757e-03	5.210	3.482	-154.8	1
173.343864	48.341837	1.886892e+00	5.082538e-03	4.643	4.070	157.3	1
173.139938	47.948589	1.844516e+00	2.362492e-03	15.361	8.683	98.4	1
173.662313	47.644452	1.833383e+00	3.512227e-03	8.612	5.157	69.3	1
174.882747	47.356617	1.830601e+00	9.685719e-03	3.373	2.978	136.3	1
174.137812	48.102715	1.812678e+00	4.131460e-03	8.039	4.973	135.1	1
174.810543	47.037832	1.804426e+00	4.334958e-03	7.640	2.853	164.8	1
174.726808	47.269754	1.802701e+00	2.225557e-02	4.647	1.553	-136.5	0
174.589490	47.305942	1.801931e+00	3.707677e-03	9.382	3.674	147.1	1
173.579042	47.648480	1.799610e+00	6.895058e-03	4.644	3.059	133.9	1
173.322432	48.395866	1.795205e+00	4.721118e-03	5.902	3.755	140.0	1
173.449274	48.638661	1.792900e+00	6.478411e-03	4.148	3.387	142.2	1
173.912458	48.527115	1.789880e+00	5.003160e-03	4.682	3.793	153.8	1
173.184928	48.171358	1.785172e+00	4.533771e-03	5.498	4.015	-151.2	1
173.410867	48.260719	1.775272e+00	3.739382e-03	6.697	4.392	-159.7	1
173.630812	48.358683	1.757237e+00	5.206628e-02	1.918	1.298	62.3	1
173.649177	48.614998	1.755857e+00	5.654935e-03	7.812	2.748	139.2	1
174.751217	47.002116	1.752446e+00	4.502109e-03	5.768	4.100	125.7	1
174.601851	46.975534	1.752219e+00	3.476625e-03	8.965	4.774	160.4	1
173.248490	48.318475	1.749161e+00	6.169882e-03	5.013	2.891	178.1	1
173.270603	48.483337	1.748989e+00	2.847356e-03	10.436	8.392	67.8	1
174.204686	47.758792	1.726706e+00	3.915433e-03	6.006	3.692	165.6	1
174.307372	48.388755	1.725427e+00	5.765838e-03	4.334	3.391	151.1	1
174.944394	47.819723	1.723348e+00	2.706476e-03	8.540	6.312	169.3	1
174.964056	47.608163	1.715496e+00	4.356815e-03	6.854	3.134	178.7	1
173.394112	48.204938	1.711251e+00	5.941842e-03	4.381	3.469	-156.4	1
173.889385	47.778141	1.706794e+00	1.764128e-02	3.292	2.198	48.5	0
174.553012	46.883867	1.694764e+00	2.383634e-03	13.230	7.699	-157.3	1
173.805852	48.089811	1.668355e+00	2.706172e-03	8.929	6.778	124.1	1
174.065492	47.357233	1.664087e+00	3.697970e-03	6.349	4.540	165.0	1
173.038951	47.996842	1.663398e+00	3.890989e-03	7.638	4.124	150.8	1
174.530132	47.798793	1.661051e+00	6.203740e-03	6.999	2.634	173.9	1
174.723879	47.248342	1.655149e+00	1.387965e-02	4.266	2.689	116.7	0
173.258681	48.135466	1.643144e+00	3.081376e-03	11.922	4.120	152.8	1
173.693828	47.579051	1.642225e+00	6.032048e-03	3.843	3.025	179.8	1
173.813240	48.562945	1.636183e+00	6.378879e-03	4.622	2.846	-167.3	1
174.556905	48.061135	1.629591e+00	4.260369e-03	14.330	2.003	139.6	1
174.015635	48.710927	1.629011e+00	4.826699e-03	5.787	3.093	167.9	1
174.259092	47.294023	1.628619e+00	2.954410e-03	7.970	5.136	130.4	1
174.013409	48.725428	1.618992e+00	3.728248e-03	7.941	3.558	-146.2	1
174.322417	48.029133	1.607530e+00	3.780200e-03	6.189	4.639	153.7	1
173.730305	48.427086	1.607298e+00	5.252609e-03	6.059	3.079	179.6	1
173.386286	48.393126	1.606949e+00	4.729797e-03	4.485	3.870	177.0	1
174.585835	46.748529	1.605306e+00	1.081014e-02	4.272	2.564	-151.9	0
173.600400	48.267752	1.604692e+00	3.286620e-03	8.992	4.691	-178.7	1
174.718329	47.249978	1.593015e+00	1.072737e-02	4.990	2.390	156.8	0
173.934570	47.415017	1.587088e+00	3.654780e-03	6.397	5.479	102.7	1
174.638532	47.400522	1.586584e+00	7.748886e-03	3.498	2.683	68.4	1
